Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
ESTADOS UNIDOS,USA,FLORIDA,HOMESTEAD,C. MIAMI,ADULTO,42,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,PALMIRA,3.709.024,-95.712.891,2022-02-01,1,COLOMBIAVALLE DEL CAUCAPALMIRA,COLOMBIA,3.5308373,-76.2988048,02-2022,2022
ESTADOS UNIDOS,USA,NEW JERSEY,NORTH BERGEN,C. NEWARK,ADULTO,32,"INGENIERIA, ARQUITECTURA Y AFINES","INGENIERIA EN SISTEMAS, TELEMATICAY AFINES",PREGRADO - TECNOLOGICO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2024-10-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,10-2024,2024
ESTADOS UNIDOS,USA,TEXAS,HOUSTON,C. HOUSTON,ADULTO,35,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA ELECTRICA Y AFINES,NO INDICA,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,BUENAVENTURA,3.709.024,-95.712.891,2022-04-01,1,COLOMBIAVALLE DEL CAUCABUENAVENTURA,COLOMBIA,3.8881929,-77.0738324,04-2022,2022
ESTADOS UNIDOS,USA,UTAH,SALT LAKE CITY,C. SAN FRANCISCO,ADULTO JOVEN,25,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICAY/O RELACIONES INTERNACIONALES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,META,VILLAVICENCIO,3.709.024,-95.712.891,2022-11-01,1,COLOMBIAMETAVILLAVICENCIO,COLOMBIA,4.1347644,-73.6201517,11-2022,2022
ESTADOS UNIDOS,USA,NEW JERSEY,PISCATAWAY,C. NEWARK,ADULTO,32,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-07-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,07-2023,2023
ESTADOS UNIDOS,USA,NEW YORK,WHITE PLAINS,C. NUEVA YORK,ADULTO MAYOR,65,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,POSTGRADO - MAESTRIA,DIVORCIADO,FEMENINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2023-06-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,06-2023,2023
CANADA,CAN,ALBERTA,CALGARY,C. CALGARY,ADULTO,30,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA DE PETROLEOS,POSTGRADO - ESPECIALIZACION,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2024-05-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,05-2024,2024
ESTADOS UNIDOS,USA,CALIFORNIA,SAN LEANDRO,C. SAN FRANCISCO,ADULTO,42,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,HUILA,ACEVEDO,3.709.024,-95.712.891,2022-09-01,1,COLOMBIAHUILAACEVEDO,COLOMBIA,1.8070452,-75.888501,09-2022,2022
ESTADOS UNIDOS,USA,ALABAMA,MOBILE,C. ATLANTA,ADULTO,34,CIENCIAS DE LA SALUD,MEDICINA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,COLOMBIA,NORTE DE SANTANDER,CUCUTA,3.709.024,-95.712.891,2023-11-01,1,COLOMBIANORTE DE SANTANDERCUCUTA,COLOMBIA,8.0776187,-72.4689002,11-2023,2023
ESTADOS UNIDOS,USA,TEXAS,AUSTIN,C. HOUSTON,ADULTO JOVEN,23,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,OTRO,-1,COLOMBIA,TOLIMA,IBAGUE,3.709.024,-95.712.891,2023-05-01,1,COLOMBIATOLIMAIBAGUE,COLOMBIA,4.4386033,-75.2108857,05-2023,2023
